archivo,nodos,densidad,particiones,i,j,algs,tt,ta
instancias/solved/instancia-30-10-10.1.1.col.0,30,10,10,1,1,0,0.0160501,0.0111699
instancias/solved/instancia-30-10-10.1.1.col.11,30,10,10,1,1,11,0.0283129,0.0124309
instancias/solved/instancia-30-10-10.1.1.col.19,30,10,10,1,1,19,0.0262051,0.00893497
instancias/solved/instancia-30-10-10.1.1.col.3,30,10,10,1,1,3,0.021517,0.0153661
instancias/solved/instancia-30-10-10.1.1.col.8,30,10,10,1,1,8,0.022373,0.00833106
instancias/solved/instancia-30-10-10.1.2.col.0,30,10,10,1,2,0,0.263918,0.261761
instancias/solved/instancia-30-10-10.1.2.col.11,30,10,10,1,2,11,0.331807,0.285033
instancias/solved/instancia-30-10-10.1.2.col.19,30,10,10,1,2,19,0.244979,0.192188
instancias/solved/instancia-30-10-10.1.2.col.3,30,10,10,1,2,3,0.275228,0.267449
instancias/solved/instancia-30-10-10.1.2.col.8,30,10,10,1,2,8,0.332932,0.302228
instancias/solved/instancia-30-10-10.1.3.col.0,30,10,10,1,3,0,0.0129049,0.00984216
instancias/solved/instancia-30-10-10.1.3.col.11,30,10,10,1,3,11,0.0128212,0.00471687
instancias/solved/instancia-30-10-10.1.3.col.19,30,10,10,1,3,19,0.0151491,0.00492597
instancias/solved/instancia-30-10-10.1.3.col.3,30,10,10,1,3,3,0.0102811,0.00476885
instancias/solved/instancia-30-10-10.1.3.col.8,30,10,10,1,3,8,0.0174921,0.00694513
instancias/solved/instancia-30-10-10.1.4.col.0,30,10,10,1,4,0,0.0142961,0.010911
instancias/solved/instancia-30-10-10.1.4.col.11,30,10,10,1,4,11,0.013206,0.00438905
instancias/solved/instancia-30-10-10.1.4.col.19,30,10,10,1,4,19,0.0157201,0.00446486
instancias/solved/instancia-30-10-10.1.4.col.3,30,10,10,1,4,3,0.0126951,0.00595808
instancias/solved/instancia-30-10-10.1.4.col.8,30,10,10,1,4,8,0.014498,0.00598407
instancias/solved/instancia-30-10-10.1.5.col.0,30,10,10,1,5,0,0.0133009,0.0110319
instancias/solved/instancia-30-10-10.1.5.col.11,30,10,10,1,5,11,0.01195,0.00506091
instancias/solved/instancia-30-10-10.1.5.col.19,30,10,10,1,5,19,0.014096,0.00487804
instancias/solved/instancia-30-10-10.1.5.col.3,30,10,10,1,5,3,0.0126131,0.00526214
instancias/solved/instancia-30-10-10.1.5.col.8,30,10,10,1,5,8,0.0160761,0.00767589
instancias/solved/instancia-30-10-10.2.1.col.0,30,10,10,2,1,0,0.00847983,0.00754595
instancias/solved/instancia-30-10-10.2.1.col.11,30,10,10,2,1,11,0.0224042,0.00635195
instancias/solved/instancia-30-10-10.2.1.col.19,30,10,10,2,1,19,0.0169868,0.00566316
instancias/solved/instancia-30-10-10.2.1.col.3,30,10,10,2,1,3,0.0163162,0.0070219
instancias/solved/instancia-30-10-10.2.1.col.8,30,10,10,2,1,8,0.0187941,0.00875711
instancias/solved/instancia-30-10-10.2.2.col.0,30,10,10,2,2,0,0.013531,0.0126169
instancias/solved/instancia-30-10-10.2.2.col.11,30,10,10,2,2,11,0.012639,0.00416398
instancias/solved/instancia-30-10-10.2.2.col.19,30,10,10,2,2,19,0.0148101,0.00485897
instancias/solved/instancia-30-10-10.2.2.col.3,30,10,10,2,2,3,0.0147052,0.00487185
instancias/solved/instancia-30-10-10.2.2.col.8,30,10,10,2,2,8,0.017221,0.00443506
instancias/solved/instancia-30-10-10.2.3.col.0,30,10,10,2,3,0,0.011265,0.0101202
instancias/solved/instancia-30-10-10.2.3.col.11,30,10,10,2,3,11,0.0120289,0.00497508
instancias/solved/instancia-30-10-10.2.3.col.19,30,10,10,2,3,19,0.013032,0.00538301
instancias/solved/instancia-30-10-10.2.3.col.3,30,10,10,2,3,3,0.00966978,0.00528097
instancias/solved/instancia-30-10-10.2.3.col.8,30,10,10,2,3,8,0.010658,0.00503206
instancias/solved/instancia-30-10-10.2.4.col.0,30,10,10,2,4,0,0.00637603,0.00545001
instancias/solved/instancia-30-10-10.2.4.col.11,30,10,10,2,4,11,0.0188441,0.0118198
instancias/solved/instancia-30-10-10.2.4.col.19,30,10,10,2,4,19,0.0217049,0.0125
instancias/solved/instancia-30-10-10.2.4.col.3,30,10,10,2,4,3,0.0179389,0.0123391
instancias/solved/instancia-30-10-10.2.4.col.8,30,10,10,2,4,8,0.0182161,0.011781
instancias/solved/instancia-30-10-10.2.5.col.0,30,10,10,2,5,0,0.00867295,0.00768399
instancias/solved/instancia-30-10-10.2.5.col.11,30,10,10,2,5,11,0.0135751,0.005862
instancias/solved/instancia-30-10-10.2.5.col.19,30,10,10,2,5,19,0.0148351,0.00574207
instancias/solved/instancia-30-10-10.2.5.col.3,30,10,10,2,5,3,0.010324,0.00569797
instancias/solved/instancia-30-10-10.2.5.col.8,30,10,10,2,5,8,0.0130022,0.00593996
instancias/solved/instancia-30-10-10.3.1.col.0,30,10,10,3,1,0,0.0111561,0.00773501
instancias/solved/instancia-30-10-10.3.1.col.11,30,10,10,3,1,11,0.0144482,0.00490403
instancias/solved/instancia-30-10-10.3.1.col.19,30,10,10,3,1,19,0.013694,0.00506091
instancias/solved/instancia-30-10-10.3.1.col.3,30,10,10,3,1,3,0.0149219,0.0076251
instancias/solved/instancia-30-10-10.3.1.col.8,30,10,10,3,1,8,0.0146461,0.00661111
instancias/solved/instancia-30-10-10.3.2.col.0,30,10,10,3,2,0,0.00971794,0.00853896
instancias/solved/instancia-30-10-10.3.2.col.11,30,10,10,3,2,11,0.040905,0.0158658
instancias/solved/instancia-30-10-10.3.2.col.19,30,10,10,3,2,19,0.042845,0.0160501
instancias/solved/instancia-30-10-10.3.2.col.3,30,10,10,3,2,3,0.0292182,0.0128679
instancias/solved/instancia-30-10-10.3.2.col.8,30,10,10,3,2,8,0.0436139,0.014827
instancias/solved/instancia-30-10-10.3.3.col.0,30,10,10,3,3,0,0.0130229,0.0120091
instancias/solved/instancia-30-10-10.3.3.col.11,30,10,10,3,3,11,0.0150089,0.00443196
instancias/solved/instancia-30-10-10.3.3.col.19,30,10,10,3,3,19,0.015646,0.00469112
instancias/solved/instancia-30-10-10.3.3.col.3,30,10,10,3,3,3,0.00976706,0.00482893
instancias/solved/instancia-30-10-10.3.3.col.8,30,10,10,3,3,8,0.0122912,0.00470996
instancias/solved/instancia-30-10-10.3.4.col.0,30,10,10,3,4,0,0.00919485,0.00815415
instancias/solved/instancia-30-10-10.3.4.col.11,30,10,10,3,4,11,0.051939,0.0215609
instancias/solved/instancia-30-10-10.3.4.col.19,30,10,10,3,4,19,0.052644,0.014782
instancias/solved/instancia-30-10-10.3.4.col.3,30,10,10,3,4,3,0.0174661,0.00830102
instancias/solved/instancia-30-10-10.3.4.col.8,30,10,10,3,4,8,0.031949,0.00731921
instancias/solved/instancia-30-10-10.3.5.col.0,30,10,10,3,5,0,0.00880504,0.00763607
instancias/solved/instancia-30-10-10.3.5.col.11,30,10,10,3,5,11,0.0819399,0.0457468
instancias/solved/instancia-30-10-10.3.5.col.19,30,10,10,3,5,19,0.106447,0.046329
instancias/solved/instancia-30-10-10.3.5.col.3,30,10,10,3,5,3,0.0293109,0.019733
instancias/solved/instancia-30-10-10.3.5.col.8,30,10,10,3,5,8,0.039047,0.0106089
instancias/solved/instancia-30-10-10.4.1.col.0,30,10,10,4,1,0,0.0140269,0.0123441
instancias/solved/instancia-30-10-10.4.1.col.11,30,10,10,4,1,11,0.0197711,0.0106161
instancias/solved/instancia-30-10-10.4.1.col.19,30,10,10,4,1,19,0.017503,0.00867701
instancias/solved/instancia-30-10-10.4.1.col.3,30,10,10,4,1,3,0.0158439,0.00889516
instancias/solved/instancia-30-10-10.4.1.col.8,30,10,10,4,1,8,0.021538,0.0140898
instancias/solved/instancia-30-10-10.4.2.col.0,30,10,10,4,2,0,0.013011,0.0118182
instancias/solved/instancia-30-10-10.4.2.col.11,30,10,10,4,2,11,0.0109808,0.00429511
instancias/solved/instancia-30-10-10.4.2.col.19,30,10,10,4,2,19,0.0141101,0.00418401
instancias/solved/instancia-30-10-10.4.2.col.3,30,10,10,4,2,3,0.00886703,0.00434303
instancias/solved/instancia-30-10-10.4.2.col.8,30,10,10,4,2,8,0.0147638,0.00473309
instancias/solved/instancia-30-10-10.4.3.col.0,30,10,10,4,3,0,0.00785613,0.00678015
instancias/solved/instancia-30-10-10.4.3.col.11,30,10,10,4,3,11,0.0141661,0.00575185
instancias/solved/instancia-30-10-10.4.3.col.19,30,10,10,4,3,19,0.021749,0.00638008
instancias/solved/instancia-30-10-10.4.3.col.3,30,10,10,4,3,3,0.0111749,0.00632405
instancias/solved/instancia-30-10-10.4.3.col.8,30,10,10,4,3,8,0.0129788,0.00584197
instancias/solved/instancia-30-10-10.4.4.col.0,30,10,10,4,4,0,0.00840902,0.0074172
instancias/solved/instancia-30-10-10.4.4.col.11,30,10,10,4,4,11,0.08324,0.049531
instancias/solved/instancia-30-10-10.4.4.col.19,30,10,10,4,4,19,0.0896759,0.041642
instancias/solved/instancia-30-10-10.4.4.col.3,30,10,10,4,4,3,0.037375,0.0247011
instancias/solved/instancia-30-10-10.4.4.col.8,30,10,10,4,4,8,0.0298331,0.00735307
instancias/solved/instancia-30-10-10.4.5.col.0,30,10,10,4,5,0,0.0350709,0.0314329
instancias/solved/instancia-30-10-10.4.5.col.11,30,10,10,4,5,11,0.0233209,0.0104361
instancias/solved/instancia-30-10-10.4.5.col.19,30,10,10,4,5,19,0.027168,0.00988698
instancias/solved/instancia-30-10-10.4.5.col.3,30,10,10,4,5,3,0.034591,0.0291939
instancias/solved/instancia-30-10-10.4.5.col.8,30,10,10,4,5,8,0.0225911,0.00989389
instancias/solved/instancia-30-10-10.5.1.col.0,30,10,10,5,1,0,0.0221372,0.021138
instancias/solved/instancia-30-10-10.5.1.col.11,30,10,10,5,1,11,0.0747621,0.036772
instancias/solved/instancia-30-10-10.5.1.col.19,30,10,10,5,1,19,0.0775611,0.038476
instancias/solved/instancia-30-10-10.5.1.col.3,30,10,10,5,1,3,0.0361049,0.0256138
instancias/solved/instancia-30-10-10.5.1.col.8,30,10,10,5,1,8,0.0489318,0.00969982
instancias/solved/instancia-30-10-10.5.2.col.0,30,10,10,5,2,0,0.0156751,0.0128801
instancias/solved/instancia-30-10-10.5.2.col.11,30,10,10,5,2,11,0.07284,0.034359
instancias/solved/instancia-30-10-10.5.2.col.19,30,10,10,5,2,19,0.114238,0.0453269
instancias/solved/instancia-30-10-10.5.2.col.3,30,10,10,5,2,3,0.0308788,0.0215259
instancias/solved/instancia-30-10-10.5.2.col.8,30,10,10,5,2,8,0.0411491,0.00839901
instancias/solved/instancia-30-10-10.5.3.col.0,30,10,10,5,3,0,0.00977802,0.00879121
instancias/solved/instancia-30-10-10.5.3.col.11,30,10,10,5,3,11,0.036211,0.00733209
instancias/solved/instancia-30-10-10.5.3.col.19,30,10,10,5,3,19,0.0556469,0.00715804
instancias/solved/instancia-30-10-10.5.3.col.3,30,10,10,5,3,3,0.026942,0.0148859
instancias/solved/instancia-30-10-10.5.3.col.8,30,10,10,5,3,8,0.0314131,0.00837398
instancias/solved/instancia-30-10-10.5.4.col.0,30,10,10,5,4,0,0.018239,0.015964
instancias/solved/instancia-30-10-10.5.4.col.11,30,10,10,5,4,11,0.0137222,0.00572991
instancias/solved/instancia-30-10-10.5.4.col.19,30,10,10,5,4,19,0.014946,0.00619698
instancias/solved/instancia-30-10-10.5.4.col.3,30,10,10,5,4,3,0.0114219,0.00679183
instancias/solved/instancia-30-10-10.5.4.col.8,30,10,10,5,4,8,0.0135422,0.00577903
instancias/solved/instancia-30-10-10.5.5.col.0,30,10,10,5,5,0,0.0103688,0.007581
instancias/solved/instancia-30-10-10.5.5.col.11,30,10,10,5,5,11,0.0103679,0.00458694
instancias/solved/instancia-30-10-10.5.5.col.19,30,10,10,5,5,19,0.0130231,0.00500011
instancias/solved/instancia-30-10-10.5.5.col.3,30,10,10,5,5,3,0.00811005,0.00429606
instancias/solved/instancia-30-10-10.5.5.col.8,30,10,10,5,5,8,0.010761,0.00631785
instancias/solved/instancia-30-10-15.1.1.col.0,30,10,15,1,1,0,0.328152,0.323233
instancias/solved/instancia-30-10-15.1.1.col.11,30,10,15,1,1,11,0.272963,0.224756
instancias/solved/instancia-30-10-15.1.1.col.19,30,10,15,1,1,19,0.105204,0.0125232
instancias/solved/instancia-30-10-15.1.1.col.3,30,10,15,1,1,3,0.408252,0.394337
instancias/solved/instancia-30-10-15.1.1.col.8,30,10,15,1,1,8,0.427439,0.393859
instancias/solved/instancia-30-10-15.1.2.col.0,30,10,15,1,2,0,0.238821,0.237327
instancias/solved/instancia-30-10-15.1.2.col.11,30,10,15,1,2,11,0.066241,0.012382
instancias/solved/instancia-30-10-15.1.2.col.19,30,10,15,1,2,19,0.0781679,0.0119591
instancias/solved/instancia-30-10-15.1.2.col.3,30,10,15,1,2,3,0.270625,0.25158
instancias/solved/instancia-30-10-15.1.2.col.8,30,10,15,1,2,8,0.220262,0.187313
instancias/solved/instancia-30-10-15.1.3.col.0,30,10,15,1,3,0,0.137268,0.130276
instancias/solved/instancia-30-10-15.1.3.col.11,30,10,15,1,3,11,0.0431721,0.00570798
instancias/solved/instancia-30-10-15.1.3.col.19,30,10,15,1,3,19,0.0537601,0.00605512
instancias/solved/instancia-30-10-15.1.3.col.3,30,10,15,1,3,3,0.0642769,0.0466721
instancias/solved/instancia-30-10-15.1.3.col.8,30,10,15,1,3,8,0.0430729,0.00871301
instancias/solved/instancia-30-10-15.1.4.col.0,30,10,15,1,4,0,0.092675,0.088146
instancias/solved/instancia-30-10-15.1.4.col.11,30,10,15,1,4,11,0.0465448,0.00724602
instancias/solved/instancia-30-10-15.1.4.col.19,30,10,15,1,4,19,0.057802,0.00851488
instancias/solved/instancia-30-10-15.1.4.col.3,30,10,15,1,4,3,0.0935879,0.0778742
instancias/solved/instancia-30-10-15.1.4.col.8,30,10,15,1,4,8,0.0525842,0.0146501
instancias/solved/instancia-30-10-15.1.5.col.0,30,10,15,1,5,0,0.1538,0.148978
instancias/solved/instancia-30-10-15.1.5.col.11,30,10,15,1,5,11,0.0624609,0.019798
instancias/solved/instancia-30-10-15.1.5.col.19,30,10,15,1,5,19,0.0660141,0.021714
instancias/solved/instancia-30-10-15.1.5.col.3,30,10,15,1,5,3,0.139828,0.125672
instancias/solved/instancia-30-10-15.1.5.col.8,30,10,15,1,5,8,0.0554202,0.021594
instancias/solved/instancia-30-10-15.2.1.col.0,30,10,15,2,1,0,0.304744,0.299369
instancias/solved/instancia-30-10-15.2.1.col.11,30,10,15,2,1,11,0.091218,0.023454
instancias/solved/instancia-30-10-15.2.1.col.19,30,10,15,2,1,19,0.100786,0.0261209
instancias/solved/instancia-30-10-15.2.1.col.3,30,10,15,2,1,3,0.285226,0.266957
instancias/solved/instancia-30-10-15.2.1.col.8,30,10,15,2,1,8,0.0708849,0.0152321
instancias/solved/instancia-30-10-15.2.2.col.0,30,10,15,2,2,0,0.508888,0.500843
instancias/solved/instancia-30-10-15.2.2.col.11,30,10,15,2,2,11,0.334369,0.251914
instancias/solved/instancia-30-10-15.2.2.col.19,30,10,15,2,2,19,0.208696,0.06777
instancias/solved/instancia-30-10-15.2.2.col.3,30,10,15,2,2,3,0.520773,0.50218
instancias/solved/instancia-30-10-15.2.2.col.8,30,10,15,2,2,8,0.792434,0.735188
instancias/solved/instancia-30-10-15.2.3.col.0,30,10,15,2,3,0,0.127336,0.121364
instancias/solved/instancia-30-10-15.2.3.col.11,30,10,15,2,3,11,0.059427,0.0222661
instancias/solved/instancia-30-10-15.2.3.col.19,30,10,15,2,3,19,0.062664,0.0224299
instancias/solved/instancia-30-10-15.2.3.col.3,30,10,15,2,3,3,0.0721829,0.05372
instancias/solved/instancia-30-10-15.2.3.col.8,30,10,15,2,3,8,0.0598831,0.021641
instancias/solved/instancia-30-10-15.2.4.col.0,30,10,15,2,4,0,0.180777,0.175682
instancias/solved/instancia-30-10-15.2.4.col.11,30,10,15,2,4,11,0.0640528,0.015394
instancias/solved/instancia-30-10-15.2.4.col.19,30,10,15,2,4,19,0.071141,0.0179589
instancias/solved/instancia-30-10-15.2.4.col.3,30,10,15,2,4,3,0.0947959,0.07337
instancias/solved/instancia-30-10-15.2.4.col.8,30,10,15,2,4,8,0.0612881,0.0196249
instancias/solved/instancia-30-10-15.2.5.col.0,30,10,15,2,5,0,0.236399,0.234701
instancias/solved/instancia-30-10-15.2.5.col.11,30,10,15,2,5,11,0.071738,0.0114689
instancias/solved/instancia-30-10-15.2.5.col.19,30,10,15,2,5,19,0.0750749,0.0113289
instancias/solved/instancia-30-10-15.2.5.col.3,30,10,15,2,5,3,0.171191,0.147104
instancias/solved/instancia-30-10-15.2.5.col.8,30,10,15,2,5,8,0.0693378,0.011111
instancias/solved/instancia-30-10-15.3.1.col.0,30,10,15,3,1,0,0.39703,0.389635
instancias/solved/instancia-30-10-15.3.1.col.11,30,10,15,3,1,11,0.209921,0.124168
instancias/solved/instancia-30-10-15.3.1.col.19,30,10,15,3,1,19,0.124892,0.0148439
instancias/solved/instancia-30-10-15.3.1.col.3,30,10,15,3,1,3,0.397967,0.381217
instancias/solved/instancia-30-10-15.3.1.col.8,30,10,15,3,1,8,0.328659,0.279874
instancias/solved/instancia-30-10-15.3.2.col.0,30,10,15,3,2,0,0.223424,0.219069
instancias/solved/instancia-30-10-15.3.2.col.11,30,10,15,3,2,11,0.0745511,0.0102391
instancias/solved/instancia-30-10-15.3.2.col.19,30,10,15,3,2,19,0.0943322,0.0212719
instancias/solved/instancia-30-10-15.3.2.col.3,30,10,15,3,2,3,0.258444,0.238983
instancias/solved/instancia-30-10-15.3.2.col.8,30,10,15,3,2,8,0.070035,0.0273361
instancias/solved/instancia-30-10-15.3.3.col.0,30,10,15,3,3,0,0.205897,0.204366
instancias/solved/instancia-30-10-15.3.3.col.11,30,10,15,3,3,11,0.063638,0.0200579
instancias/solved/instancia-30-10-15.3.3.col.19,30,10,15,3,3,19,0.0708899,0.02143
instancias/solved/instancia-30-10-15.3.3.col.3,30,10,15,3,3,3,0.078027,0.0601451
instancias/solved/instancia-30-10-15.3.3.col.8,30,10,15,3,3,8,0.0576081,0.019352
instancias/solved/instancia-30-10-15.3.4.col.0,30,10,15,3,4,0,0.232583,0.230996
instancias/solved/instancia-30-10-15.3.4.col.11,30,10,15,3,4,11,0.493942,0.422514
instancias/solved/instancia-30-10-15.3.4.col.19,30,10,15,3,4,19,0.167939,0.014246
instancias/solved/instancia-30-10-15.3.4.col.3,30,10,15,3,4,3,0.681949,0.664516
instancias/solved/instancia-30-10-15.3.4.col.8,30,10,15,3,4,8,0.789445,0.744736
instancias/solved/instancia-30-10-15.3.5.col.0,30,10,15,3,5,0,0.261406,0.255654
instancias/solved/instancia-30-10-15.3.5.col.11,30,10,15,3,5,11,0.0870209,0.026428
instancias/solved/instancia-30-10-15.3.5.col.19,30,10,15,3,5,19,0.0927179,0.0278611
instancias/solved/instancia-30-10-15.3.5.col.3,30,10,15,3,5,3,0.0907581,0.0723891
instancias/solved/instancia-30-10-15.3.5.col.8,30,10,15,3,5,8,0.0774651,0.023838
instancias/solved/instancia-30-10-15.4.1.col.0,30,10,15,4,1,0,0.250572,0.248932
instancias/solved/instancia-30-10-15.4.1.col.11,30,10,15,4,1,11,0.104702,0.0112782
instancias/solved/instancia-30-10-15.4.1.col.19,30,10,15,4,1,19,0.164366,0.0570822
instancias/solved/instancia-30-10-15.4.1.col.3,30,10,15,4,1,3,0.291047,0.271627
instancias/solved/instancia-30-10-15.4.1.col.8,30,10,15,4,1,8,0.100798,0.0316451
instancias/solved/instancia-30-10-15.4.2.col.0,30,10,15,4,2,0,0.128272,0.123876
instancias/solved/instancia-30-10-15.4.2.col.11,30,10,15,4,2,11,0.05689,0.019701
instancias/solved/instancia-30-10-15.4.2.col.19,30,10,15,4,2,19,0.0582991,0.0205798
instancias/solved/instancia-30-10-15.4.2.col.3,30,10,15,4,2,3,0.146192,0.133032
instancias/solved/instancia-30-10-15.4.2.col.8,30,10,15,4,2,8,0.043005,0.0096879
instancias/solved/instancia-30-10-15.4.3.col.0,30,10,15,4,3,0,0.132654,0.127214
instancias/solved/instancia-30-10-15.4.3.col.11,30,10,15,4,3,11,0.078253,0.019855
instancias/solved/instancia-30-10-15.4.3.col.19,30,10,15,4,3,19,0.071589,0.00728106
instancias/solved/instancia-30-10-15.4.3.col.3,30,10,15,4,3,3,0.163767,0.143409
instancias/solved/instancia-30-10-15.4.3.col.8,30,10,15,4,3,8,0.0717831,0.027518
instancias/solved/instancia-30-10-15.4.4.col.0,30,10,15,4,4,0,0.424958,0.419104
instancias/solved/instancia-30-10-15.4.4.col.11,30,10,15,4,4,11,0.58148,0.525106
instancias/solved/instancia-30-10-15.4.4.col.19,30,10,15,4,4,19,0.190754,0.060075
instancias/solved/instancia-30-10-15.4.4.col.3,30,10,15,4,4,3,0.533461,0.521104
instancias/solved/instancia-30-10-15.4.4.col.8,30,10,15,4,4,8,0.828905,0.792246
instancias/solved/instancia-30-10-15.4.5.col.0,30,10,15,4,5,0,0.350721,0.349186
instancias/solved/instancia-30-10-15.4.5.col.11,30,10,15,4,5,11,0.0854759,0.013442
instancias/solved/instancia-30-10-15.4.5.col.19,30,10,15,4,5,19,0.119402,0.0338619
instancias/solved/instancia-30-10-15.4.5.col.3,30,10,15,4,5,3,0.41481,0.391403
instancias/solved/instancia-30-10-15.4.5.col.8,30,10,15,4,5,8,0.0922031,0.0374839
instancias/solved/instancia-30-10-15.5.1.col.0,30,10,15,5,1,0,0.227117,0.225695
instancias/solved/instancia-30-10-15.5.1.col.11,30,10,15,5,1,11,0.219811,0.165305
instancias/solved/instancia-30-10-15.5.1.col.19,30,10,15,5,1,19,0.100587,0.0103521
instancias/solved/instancia-30-10-15.5.1.col.3,30,10,15,5,1,3,0.321709,0.306952
instancias/solved/instancia-30-10-15.5.1.col.8,30,10,15,5,1,8,0.190744,0.154856
instancias/solved/instancia-30-10-15.5.2.col.0,30,10,15,5,2,0,0.0995731,0.0915351
instancias/solved/instancia-30-10-15.5.2.col.11,30,10,15,5,2,11,0.0469949,0.00652885
instancias/solved/instancia-30-10-15.5.2.col.19,30,10,15,5,2,19,0.049402,0.00661993
instancias/solved/instancia-30-10-15.5.2.col.3,30,10,15,5,2,3,0.147569,0.134619
instancias/solved/instancia-30-10-15.5.2.col.8,30,10,15,5,2,8,0.0475278,0.00734711
instancias/solved/instancia-30-10-15.5.3.col.0,30,10,15,5,3,0,0.394834,0.392194
instancias/solved/instancia-30-10-15.5.3.col.11,30,10,15,5,3,11,0.112689,0.0435729
instancias/solved/instancia-30-10-15.5.3.col.19,30,10,15,5,3,19,0.0978241,0.014626
instancias/solved/instancia-30-10-15.5.3.col.3,30,10,15,5,3,3,0.335219,0.322462
instancias/solved/instancia-30-10-15.5.3.col.8,30,10,15,5,3,8,0.201321,0.157265
instancias/solved/instancia-30-10-15.5.4.col.0,30,10,15,5,4,0,0.137919,0.131904
instancias/solved/instancia-30-10-15.5.4.col.11,30,10,15,5,4,11,0.0661552,0.017602
instancias/solved/instancia-30-10-15.5.4.col.19,30,10,15,5,4,19,0.0752621,0.016293
instancias/solved/instancia-30-10-15.5.4.col.3,30,10,15,5,4,3,0.199822,0.186846
instancias/solved/instancia-30-10-15.5.4.col.8,30,10,15,5,4,8,0.094358,0.057404
instancias/solved/instancia-30-10-15.5.5.col.0,30,10,15,5,5,0,0.293509,0.292036
instancias/solved/instancia-30-10-15.5.5.col.11,30,10,15,5,5,11,0.102798,0.0340159
instancias/solved/instancia-30-10-15.5.5.col.19,30,10,15,5,5,19,0.122096,0.040777
instancias/solved/instancia-30-10-15.5.5.col.3,30,10,15,5,5,3,0.352673,0.341093
instancias/solved/instancia-30-10-15.5.5.col.8,30,10,15,5,5,8,0.221549,0.179743
instancias/solved/instancia-30-10-20.1.1.col.0,30,10,20,1,1,0,3.31155,3.3057
instancias/solved/instancia-30-10-20.1.1.col.11,30,10,20,1,1,11,0.145352,0.0198412
instancias/solved/instancia-30-10-20.1.1.col.19,30,10,20,1,1,19,0.178399,0.0244222
instancias/solved/instancia-30-10-20.1.1.col.3,30,10,20,1,1,3,2.25643,2.22425
instancias/solved/instancia-30-10-20.1.1.col.8,30,10,20,1,1,8,0.997135,0.905578
instancias/solved/instancia-30-10-20.1.2.col.0,30,10,20,1,2,0,0.272639,0.266521
instancias/solved/instancia-30-10-20.1.2.col.11,30,10,20,1,2,11,0.107692,0.0165319
instancias/solved/instancia-30-10-20.1.2.col.19,30,10,20,1,2,19,0.139091,0.031395
instancias/solved/instancia-30-10-20.1.2.col.3,30,10,20,1,2,3,0.533608,0.509893
instancias/solved/instancia-30-10-20.1.2.col.8,30,10,20,1,2,8,0.0821469,0.016216
instancias/solved/instancia-30-10-20.1.3.col.0,30,10,20,1,3,0,0.497899,0.492239
instancias/solved/instancia-30-10-20.1.3.col.11,30,10,20,1,3,11,0.128444,0.031868
instancias/solved/instancia-30-10-20.1.3.col.19,30,10,20,1,3,19,0.140414,0.027179
instancias/solved/instancia-30-10-20.1.3.col.3,30,10,20,1,3,3,0.417203,0.390521
instancias/solved/instancia-30-10-20.1.3.col.8,30,10,20,1,3,8,0.114147,0.039016
instancias/solved/instancia-30-10-20.1.4.col.0,30,10,20,1,4,0,0.629993,0.619875
instancias/solved/instancia-30-10-20.1.4.col.11,30,10,20,1,4,11,0.126572,0.0324769
instancias/solved/instancia-30-10-20.1.4.col.19,30,10,20,1,4,19,0.188493,0.0552399
instancias/solved/instancia-30-10-20.1.4.col.3,30,10,20,1,4,3,1.44648,1.41877
instancias/solved/instancia-30-10-20.1.4.col.8,30,10,20,1,4,8,0.11313,0.040081
instancias/solved/instancia-30-10-20.1.5.col.0,30,10,20,1,5,0,0.285881,0.277941
instancias/solved/instancia-30-10-20.1.5.col.11,30,10,20,1,5,11,0.117726,0.0386059
instancias/solved/instancia-30-10-20.1.5.col.19,30,10,20,1,5,19,0.126185,0.0388281
instancias/solved/instancia-30-10-20.1.5.col.3,30,10,20,1,5,3,0.402526,0.375147
instancias/solved/instancia-30-10-20.1.5.col.8,30,10,20,1,5,8,0.100037,0.036844
instancias/solved/instancia-30-10-20.2.1.col.0,30,10,20,2,1,0,0.478808,0.469714
instancias/solved/instancia-30-10-20.2.1.col.11,30,10,20,2,1,11,0.103021,0.0142889
instancias/solved/instancia-30-10-20.2.1.col.19,30,10,20,2,1,19,0.103717,0.010829
instancias/solved/instancia-30-10-20.2.1.col.3,30,10,20,2,1,3,0.482524,0.448455
instancias/solved/instancia-30-10-20.2.1.col.8,30,10,20,2,1,8,0.106331,0.035238
instancias/solved/instancia-30-10-20.2.2.col.0,30,10,20,2,2,0,0.545305,0.537691
instancias/solved/instancia-30-10-20.2.2.col.11,30,10,20,2,2,11,0.099699,0.0223818
instancias/solved/instancia-30-10-20.2.2.col.19,30,10,20,2,2,19,0.101996,0.0218258
instancias/solved/instancia-30-10-20.2.2.col.3,30,10,20,2,2,3,0.498473,0.472404
instancias/solved/instancia-30-10-20.2.2.col.8,30,10,20,2,2,8,0.102785,0.0309138
instancias/solved/instancia-30-10-20.2.3.col.0,30,10,20,2,3,0,0.423221,0.417736
instancias/solved/instancia-30-10-20.2.3.col.11,30,10,20,2,3,11,0.103118,0.0159848
instancias/solved/instancia-30-10-20.2.3.col.19,30,10,20,2,3,19,0.109854,0.0158181
instancias/solved/instancia-30-10-20.2.3.col.3,30,10,20,2,3,3,0.471623,0.445294
instancias/solved/instancia-30-10-20.2.3.col.8,30,10,20,2,3,8,0.083143,0.0163281
instancias/solved/instancia-30-10-20.2.4.col.0,30,10,20,2,4,0,0.705062,0.699981
