archivo,nodos,densidad,particiones,i,j,varsel,nodesel,tt,ta
instancia-20-25-10.2.2.0.2.col.solved,20,25,10,2,2,0,2,0.0282371,0.0267508
instancia-20-25-10.2.2.0.3.col.solved,20,25,10,2,2,0,3,0.035687,0.0339191
instancia-20-25-10.2.2.1.0.col.solved,20,25,10,2,2,1,0,0.020926,0.0200529
instancia-20-25-10.2.2.2.0.col.solved,20,25,10,2,2,2,0,0.027905,0.02702
instancia-20-25-10.2.2.3.0.col.solved,20,25,10,2,2,3,0,0.0266681,0.025804
instancia-20-25-10.2.2.4.0.col.solved,20,25,10,2,2,4,0,0.0206721,0.019769
instancia-20-25-10.2.3.-1.0.col.solved,20,25,10,2,3,-1,0,0.024096,0.0210071
instancia-20-25-10.2.3.0.0.col.solved,20,25,10,2,3,0,0,0.0360169,0.0351501
instancia-20-25-10.2.3.0.1.col.solved,20,25,10,2,3,0,1,0.0355041,0.0346329
instancia-20-25-10.2.3.0.2.col.solved,20,25,10,2,3,0,2,0.0372989,0.0361249
instancia-20-25-10.2.3.0.3.col.solved,20,25,10,2,3,0,3,0.051805,0.0492039
instancia-20-25-10.2.3.1.0.col.solved,20,25,10,2,3,1,0,0.0225871,0.021672
instancia-20-25-10.2.3.2.0.col.solved,20,25,10,2,3,2,0,0.0360911,0.0352221
instancia-20-25-10.2.3.3.0.col.solved,20,25,10,2,3,3,0,0.0327861,0.031862
instancia-20-25-10.2.3.4.0.col.solved,20,25,10,2,3,4,0,0.0233409,0.022459
instancia-20-25-10.2.4.-1.0.col.solved,20,25,10,2,4,-1,0,0.035126,0.034277
instancia-20-25-10.2.4.0.0.col.solved,20,25,10,2,4,0,0,0.040117,0.0391719
instancia-20-25-10.2.4.0.1.col.solved,20,25,10,2,4,0,1,0.0405331,0.0396531
instancia-20-25-10.2.4.0.2.col.solved,20,25,10,2,4,0,2,0.0398159,0.038933
instancia-20-25-10.2.4.0.3.col.solved,20,25,10,2,4,0,3,0.0398941,0.0390069
instancia-20-25-10.2.4.1.0.col.solved,20,25,10,2,4,1,0,0.0258579,0.0249829
instancia-20-25-10.2.4.2.0.col.solved,20,25,10,2,4,2,0,0.040184,0.0390542
instancia-20-25-10.2.4.3.0.col.solved,20,25,10,2,4,3,0,0.041189,0.0403349
instancia-20-25-10.2.4.4.0.col.solved,20,25,10,2,4,4,0,0.0276079,0.0267711
instancia-20-25-10.2.5.-1.0.col.solved,20,25,10,2,5,-1,0,0.023941,0.0229762
instancia-20-25-10.2.5.0.0.col.solved,20,25,10,2,5,0,0,0.030376,0.0286839
instancia-20-25-10.2.5.0.1.col.solved,20,25,10,2,5,0,1,0.0293581,0.0285251
instancia-20-25-10.2.5.0.2.col.solved,20,25,10,2,5,0,2,0.029428,0.028594
instancia-20-25-10.2.5.0.3.col.solved,20,25,10,2,5,0,3,0.02913,0.028255
instancia-20-25-10.2.5.1.0.col.solved,20,25,10,2,5,1,0,0.0244441,0.0235651
instancia-20-25-10.2.5.2.0.col.solved,20,25,10,2,5,2,0,0.0290139,0.028136
instancia-20-25-10.2.5.3.0.col.solved,20,25,10,2,5,3,0,0.028672,0.02777
instancia-20-25-10.2.5.4.0.col.solved,20,25,10,2,5,4,0,0.026989,0.0242
instancia-20-25-10.3.1.-1.0.col.solved,20,25,10,3,1,-1,0,0.0373759,0.0354528
instancia-20-25-10.3.1.0.0.col.solved,20,25,10,3,1,0,0,0.0312712,0.0304158
instancia-20-25-10.3.1.0.1.col.solved,20,25,10,3,1,0,1,0.029371,0.0284841
instancia-20-25-10.3.1.0.2.col.solved,20,25,10,3,1,0,2,0.0291409,0.0283179
instancia-20-25-10.3.1.0.3.col.solved,20,25,10,3,1,0,3,0.0298009,0.0289268
instancia-20-25-10.3.1.1.0.col.solved,20,25,10,3,1,1,0,0.0380049,0.0371079
instancia-20-25-10.3.1.2.0.col.solved,20,25,10,3,1,2,0,0.0293829,0.028527
instancia-20-25-10.3.1.3.0.col.solved,20,25,10,3,1,3,0,0.035121,0.0341711
instancia-20-25-10.3.1.4.0.col.solved,20,25,10,3,1,4,0,0.0205359,0.0196409
instancia-20-25-10.3.2.-1.0.col.solved,20,25,10,3,2,-1,0,0.058285,0.0574081
instancia-20-25-10.3.2.0.0.col.solved,20,25,10,3,2,0,0,0.0401609,0.037812
