archivo,nodos,densidad,particiones,i,j,varsel,nodesel,tt,ta
instancia-20-25-5.2.2.2.0.col.solved,20,25,5,2,2,2,0,0.00704694,0.00545311
instancia-20-25-5.2.2.3.0.col.solved,20,25,5,2,2,3,0,0.00555301,0.00503206
instancia-20-25-5.2.2.4.0.col.solved,20,25,5,2,2,4,0,0.00484085,0.00433803
instancia-20-25-5.2.3.-1.0.col.solved,20,25,5,2,3,-1,0,0.00357795,0.00302196
instancia-20-25-5.2.3.0.0.col.solved,20,25,5,2,3,0,0,0.00379801,0.00308394
instancia-20-25-5.2.3.0.1.col.solved,20,25,5,2,3,0,1,0.00368285,0.0029459
instancia-20-25-5.2.3.0.2.col.solved,20,25,5,2,3,0,2,0.00363183,0.00304508
instancia-20-25-5.2.3.0.3.col.solved,20,25,5,2,3,0,3,0.00670695,0.0051651
instancia-20-25-5.2.3.1.0.col.solved,20,25,5,2,3,1,0,0.00784302,0.00650787
instancia-20-25-5.2.3.2.0.col.solved,20,25,5,2,3,2,0,0.00533295,0.00474095
instancia-20-25-5.2.3.3.0.col.solved,20,25,5,2,3,3,0,0.003438,0.0029099
instancia-20-25-5.2.3.4.0.col.solved,20,25,5,2,3,4,0,0.00746679,0.00626206
instancia-20-25-5.2.4.-1.0.col.solved,20,25,5,2,4,-1,0,0.00430202,0.00356603
instancia-20-25-5.2.4.0.0.col.solved,20,25,5,2,4,0,0,0.00431013,0.0036068
instancia-20-25-5.2.4.0.1.col.solved,20,25,5,2,4,0,1,0.00369692,0.0031631
instancia-20-25-5.2.4.0.2.col.solved,20,25,5,2,4,0,2,0.00531292,0.00462294
instancia-20-25-5.2.4.0.3.col.solved,20,25,5,2,4,0,3,0.010483,0.0082469
instancia-20-25-5.2.4.1.0.col.solved,20,25,5,2,4,1,0,0.0098722,0.00833583
instancia-20-25-5.2.4.2.0.col.solved,20,25,5,2,4,2,0,0.00853395,0.00693202
instancia-20-25-5.2.4.3.0.col.solved,20,25,5,2,4,3,0,0.00640798,0.00490499
instancia-20-25-5.2.4.4.0.col.solved,20,25,5,2,4,4,0,0.00366306,0.00307083
instancia-20-25-5.2.5.-1.0.col.solved,20,25,5,2,5,-1,0,0.0179541,0.01653
instancia-20-25-5.2.5.0.0.col.solved,20,25,5,2,5,0,0,0.014056,0.0125248
instancia-20-25-5.2.5.0.1.col.solved,20,25,5,2,5,0,1,0.0165842,0.015125
instancia-20-25-5.2.5.0.2.col.solved,20,25,5,2,5,0,2,0.016829,0.0155382
instancia-20-25-5.2.5.0.3.col.solved,20,25,5,2,5,0,3,0.00907898,0.00844717
instancia-20-25-5.2.5.1.0.col.solved,20,25,5,2,5,1,0,0.00860906,0.00806808
instancia-20-25-5.2.5.2.0.col.solved,20,25,5,2,5,2,0,0.01915,0.017709
instancia-20-25-5.2.5.3.0.col.solved,20,25,5,2,5,3,0,0.0133739,0.011939
instancia-20-25-5.2.5.4.0.col.solved,20,25,5,2,5,4,0,0.017472,0.01565
instancia-20-25-5.3.1.-1.0.col.solved,20,25,5,3,1,-1,0,0.00888014,0.00738406
instancia-20-25-5.3.1.0.0.col.solved,20,25,5,3,1,0,0,0.00797009,0.00659895
instancia-20-25-5.3.1.0.1.col.solved,20,25,5,3,1,0,1,0.00934482,0.00777292
instancia-20-25-5.3.1.0.2.col.solved,20,25,5,3,1,0,2,0.00358081,0.00298882
instancia-20-25-5.3.1.0.3.col.solved,20,25,5,3,1,0,3,0.0042119,0.00341082
instancia-20-25-5.3.1.1.0.col.solved,20,25,5,3,1,1,0,0.00452185,0.00394702
instancia-20-25-5.3.1.2.0.col.solved,20,25,5,3,1,2,0,0.00862288,0.007267
instancia-20-25-5.3.1.3.0.col.solved,20,25,5,3,1,3,0,0.00731802,0.00598693
instancia-20-25-5.3.1.4.0.col.solved,20,25,5,3,1,4,0,0.00360298,0.00307202
instancia-20-25-5.3.2.-1.0.col.solved,20,25,5,3,2,-1,0,0.00988507,0.00864506
instancia-20-25-5.3.2.0.0.col.solved,20,25,5,3,2,0,0,0.011909,0.0104499
instancia-20-25-5.3.2.0.1.col.solved,20,25,5,3,2,0,1,0.00775504,0.00709391
instancia-20-25-5.3.2.0.2.col.solved,20,25,5,3,2,0,2,0.010303,0.00876594
instancia-20-25-5.3.2.0.3.col.solved,20,25,5,3,2,0,3,0.00756717,0.00607395
instancia-20-25-5.3.2.1.0.col.solved,20,25,5,3,2,1,0,0.00881791,0.00747895
instancia-20-25-5.3.2.2.0.col.solved,20,25,5,3,2,2,0,0.00444412,0.00391698
instancia-20-25-5.3.2.3.0.col.solved,20,25,5,3,2,3,0,0.00959802,0.00786781
instancia-20-25-5.3.2.4.0.col.solved,20,25,5,3,2,4,0,0.00602508,0.00469279
instancia-20-25-5.3.3.-1.0.col.solved,20,25,5,3,3,-1,0,0.004251,0.00342584
instancia-20-25-5.3.3.0.0.col.solved,20,25,5,3,3,0,0,0.0059731,0.00423098
instancia-20-25-5.3.3.0.1.col.solved,20,25,5,3,3,0,1,0.00394797,0.00342894
instancia-20-25-5.3.3.0.2.col.solved,20,25,5,3,3,0,2,0.010679,0.00921488
instancia-20-25-5.3.3.0.3.col.solved,20,25,5,3,3,0,3,0.00439501,0.0034039
instancia-20-25-5.3.3.1.0.col.solved,20,25,5,3,3,1,0,0.00440884,0.00330687
instancia-20-25-5.3.3.2.0.col.solved,20,25,5,3,3,2,0,0.00384903,0.00336385
instancia-20-25-5.3.3.3.0.col.solved,20,25,5,3,3,3,0,0.00427413,0.00379586
instancia-20-25-5.3.3.4.0.col.solved,20,25,5,3,3,4,0,0.00933814,0.00797296
instancia-20-25-5.3.4.-1.0.col.solved,20,25,5,3,4,-1,0,0.0079391,0.00671101
instancia-20-25-5.3.4.0.0.col.solved,20,25,5,3,4,0,0,0.00840902,0.00762081
instancia-20-25-5.3.4.0.1.col.solved,20,25,5,3,4,0,1,0.00587511,0.00529194
instancia-20-25-5.3.4.0.2.col.solved,20,25,5,3,4,0,2,0.01109,0.00988793
instancia-20-25-5.3.4.0.3.col.solved,20,25,5,3,4,0,3,0.00732899,0.00647593
instancia-20-25-5.3.4.1.0.col.solved,20,25,5,3,4,1,0,0.00401187,0.00351095
instancia-20-25-5.3.4.2.0.col.solved,20,25,5,3,4,2,0,0.00500488,0.00443316
instancia-20-25-5.3.4.3.0.col.solved,20,25,5,3,4,3,0,0.00973296,0.00845504
instancia-20-25-5.3.4.4.0.col.solved,20,25,5,3,4,4,0,0.00758195,0.006464
instancia-20-25-5.3.5.-1.0.col.solved,20,25,5,3,5,-1,0,0.00573206,0.00440001
instancia-20-25-5.3.5.0.0.col.solved,20,25,5,3,5,0,0,0.00682783,0.00576305
instancia-20-25-5.3.5.0.1.col.solved,20,25,5,3,5,0,1,0.00721812,0.00576401
instancia-20-25-5.3.5.0.2.col.solved,20,25,5,3,5,0,2,0.00532699,0.00385809
instancia-20-25-5.3.5.0.3.col.solved,20,25,5,3,5,0,3,0.0101311,0.00959301
instancia-20-25-5.3.5.1.0.col.solved,20,25,5,3,5,1,0,0.00578713,0.00456214
instancia-20-25-5.3.5.2.0.col.solved,20,25,5,3,5,2,0,0.00453401,0.0040071
instancia-20-25-5.3.5.3.0.col.solved,20,25,5,3,5,3,0,0.0102489,0.00870085
instancia-20-25-5.3.5.4.0.col.solved,20,25,5,3,5,4,0,0.00850987,0.00709796
instancia-20-25-5.4.1.-1.0.col.solved,20,25,5,4,1,-1,0,0.0111148,0.0100892
instancia-20-25-5.4.1.0.0.col.solved,20,25,5,4,1,0,0,0.00749397,0.00688696
instancia-20-25-5.4.1.0.1.col.solved,20,25,5,4,1,0,1,0.00410914,0.00354385
instancia-20-25-5.4.1.0.2.col.solved,20,25,5,4,1,0,2,0.00700188,0.00643492
instancia-20-25-5.4.1.0.3.col.solved,20,25,5,4,1,0,3,0.00830317,0.00692582
instancia-20-25-5.4.1.1.0.col.solved,20,25,5,4,1,1,0,0.00883913,0.00604415
instancia-20-25-5.4.1.2.0.col.solved,20,25,5,4,1,2,0,0.00433087,0.00366187
instancia-20-25-5.4.1.3.0.col.solved,20,25,5,4,1,3,0,0.00695205,0.00536609
instancia-20-25-5.4.1.4.0.col.solved,20,25,5,4,1,4,0,0.00719595,0.00647306
instancia-20-25-5.4.2.-1.0.col.solved,20,25,5,4,2,-1,0,0.00994205,0.00853801
instancia-20-25-5.4.2.0.0.col.solved,20,25,5,4,2,0,0,0.00784802,0.00580287
instancia-20-25-5.4.2.0.1.col.solved,20,25,5,4,2,0,1,0.00698519,0.00632405
instancia-20-25-5.4.2.0.2.col.solved,20,25,5,4,2,0,2,0.00727582,0.005862
instancia-20-25-5.4.2.0.3.col.solved,20,25,5,4,2,0,3,0.00770497,0.00707388
instancia-20-25-5.4.2.1.0.col.solved,20,25,5,4,2,1,0,0.00550985,0.00486493
instancia-20-25-5.4.2.2.0.col.solved,20,25,5,4,2,2,0,0.00546217,0.00430298
instancia-20-25-5.4.2.3.0.col.solved,20,25,5,4,2,3,0,0.00546694,0.00465083
instancia-20-25-5.4.2.4.0.col.solved,20,25,5,4,2,4,0,0.00490403,0.00351501
instancia-20-25-5.4.3.-1.0.col.solved,20,25,5,4,3,-1,0,0.0296829,0.0289829
instancia-20-25-5.4.3.0.0.col.solved,20,25,5,4,3,0,0,0.0278611,0.0271621
instancia-20-25-5.4.3.0.1.col.solved,20,25,5,4,3,0,1,0.034234,0.0326369
instancia-20-25-5.4.3.0.2.col.solved,20,25,5,4,3,0,2,0.0315661,0.0301621
instancia-20-25-5.4.3.0.3.col.solved,20,25,5,4,3,0,3,0.028336,0.0276361
instancia-20-25-5.4.3.1.0.col.solved,20,25,5,4,3,1,0,0.028146,0.0275431
instancia-20-25-5.4.3.2.0.col.solved,20,25,5,4,3,2,0,0.029212,0.02773
instancia-20-25-5.4.3.3.0.col.solved,20,25,5,4,3,3,0,0.029644,0.028322
instancia-20-25-5.4.3.4.0.col.solved,20,25,5,4,3,4,0,0.0285029,0.0269539
instancia-20-25-5.4.4.-1.0.col.solved,20,25,5,4,4,-1,0,0.00727987,0.00674701
instancia-20-25-5.4.4.0.0.col.solved,20,25,5,4,4,0,0,0.0120401,0.0106039
instancia-20-25-5.4.4.0.1.col.solved,20,25,5,4,4,0,1,0.01265,0.0108159
instancia-20-25-5.4.4.0.2.col.solved,20,25,5,4,4,0,2,0.0132551,0.012064
instancia-20-25-5.4.4.0.3.col.solved,20,25,5,4,4,0,3,0.0094161,0.00885606
instancia-20-25-5.4.4.1.0.col.solved,20,25,5,4,4,1,0,0.00818181,0.00665498
instancia-20-25-5.4.4.2.0.col.solved,20,25,5,4,4,2,0,0.0133421,0.0121291
instancia-20-25-5.4.4.3.0.col.solved,20,25,5,4,4,3,0,0.0136349,0.0125852
instancia-20-25-5.4.4.4.0.col.solved,20,25,5,4,4,4,0,0.00715089,0.00649285
instancia-20-25-5.4.5.-1.0.col.solved,20,25,5,4,5,-1,0,0.00790501,0.00665617
instancia-20-25-5.4.5.0.0.col.solved,20,25,5,4,5,0,0,0.00995708,0.00842786
instancia-20-25-5.4.5.0.1.col.solved,20,25,5,4,5,0,1,0.00507307,0.00456595
instancia-20-25-5.4.5.0.2.col.solved,20,25,5,4,5,0,2,0.005337,0.00384283
instancia-20-25-5.4.5.0.3.col.solved,20,25,5,4,5,0,3,0.00542593,0.00417995
instancia-20-25-5.4.5.1.0.col.solved,20,25,5,4,5,1,0,0.00741887,0.00624394
instancia-20-25-5.4.5.2.0.col.solved,20,25,5,4,5,2,0,0.00829196,0.00721788
instancia-20-25-5.4.5.3.0.col.solved,20,25,5,4,5,3,0,0.00939107,0.00813198
instancia-20-25-5.4.5.4.0.col.solved,20,25,5,4,5,4,0,0.011261,0.009794
instancia-20-25-5.5.1.-1.0.col.solved,20,25,5,5,1,-1,0,0.00697494,0.00563693
instancia-20-25-5.5.1.0.0.col.solved,20,25,5,5,1,0,0,0.00364184,0.0031321
instancia-20-25-5.5.1.0.1.col.solved,20,25,5,5,1,0,1,0.00392103,0.00292897
instancia-20-25-5.5.1.0.2.col.solved,20,25,5,5,1,0,2,0.00639296,0.00581288
instancia-20-25-5.5.1.0.3.col.solved,20,25,5,5,1,0,3,0.00512791,0.00364804
instancia-20-25-5.5.1.1.0.col.solved,20,25,5,5,1,1,0,0.005445,0.00469208
instancia-20-25-5.5.1.2.0.col.solved,20,25,5,5,1,2,0,0.0035851,0.00290298
instancia-20-25-5.5.1.3.0.col.solved,20,25,5,5,1,3,0,0.00349689,0.00300694
instancia-20-25-5.5.1.4.0.col.solved,20,25,5,5,1,4,0,0.00583482,0.00510311
instancia-20-25-5.5.2.-1.0.col.solved,20,25,5,5,2,-1,0,0.00419998,0.00347114
instancia-20-25-5.5.2.0.0.col.solved,20,25,5,5,2,0,0,0.00372505,0.00318813
instancia-20-25-5.5.2.0.1.col.solved,20,25,5,5,2,0,1,0.00787807,0.006459
instancia-20-25-5.5.2.0.2.col.solved,20,25,5,5,2,0,2,0.00346589,0.00293708
instancia-20-25-5.5.2.0.3.col.solved,20,25,5,5,2,0,3,0.00461698,0.00398993
instancia-20-25-5.5.2.1.0.col.solved,20,25,5,5,2,1,0,0.00475693,0.00402904
instancia-20-25-5.5.2.2.0.col.solved,20,25,5,5,2,2,0,0.0036819,0.002949
instancia-20-25-5.5.2.3.0.col.solved,20,25,5,5,2,3,0,0.004457,0.00394988
instancia-20-25-5.5.2.4.0.col.solved,20,25,5,5,2,4,0,0.0077529,0.00648093
instancia-20-25-5.5.3.-1.0.col.solved,20,25,5,5,3,-1,0,0.010098,0.00863004
instancia-20-25-5.5.3.0.0.col.solved,20,25,5,5,3,0,0,0.00854015,0.00747299
instancia-20-25-5.5.3.0.1.col.solved,20,25,5,5,3,0,1,0.00498104,0.00447297
instancia-20-25-5.5.3.0.2.col.solved,20,25,5,5,3,0,2,0.0062499,0.005481
instancia-20-25-5.5.3.0.3.col.solved,20,25,5,5,3,0,3,0.00420904,0.00356817
instancia-20-25-5.5.3.1.0.col.solved,20,25,5,5,3,1,0,0.0103371,0.00888705
instancia-20-25-5.5.3.2.0.col.solved,20,25,5,5,3,2,0,0.00690198,0.00609994
instancia-20-25-5.5.3.3.0.col.solved,20,25,5,5,3,3,0,0.00783014,0.00629592
instancia-20-25-5.5.3.4.0.col.solved,20,25,5,5,3,4,0,0.0119882,0.0104549
instancia-20-25-5.5.4.-1.0.col.solved,20,25,5,5,4,-1,0,0.00673103,0.00615406
instancia-20-25-5.5.4.0.0.col.solved,20,25,5,5,4,0,0,0.016396,0.0149632
instancia-20-25-5.5.4.0.1.col.solved,20,25,5,5,4,0,1,0.01424,0.012712
instancia-20-25-5.5.4.0.2.col.solved,20,25,5,5,4,0,2,0.00639009,0.00517321
instancia-20-25-5.5.4.0.3.col.solved,20,25,5,5,4,0,3,0.00641298,0.00529003
instancia-20-25-5.5.4.1.0.col.solved,20,25,5,5,4,1,0,0.00992608,0.00835586
instancia-20-25-5.5.4.2.0.col.solved,20,25,5,5,4,2,0,0.00833416,0.007267
instancia-20-25-5.5.4.3.0.col.solved,20,25,5,5,4,3,0,0.00830507,0.00774312
instancia-20-25-5.5.4.4.0.col.solved,20,25,5,5,4,4,0,0.010628,0.00970602
instancia-20-25-5.5.5.-1.0.col.solved,20,25,5,5,5,-1,0,0.0046339,0.00394607
instancia-20-25-5.5.5.0.0.col.solved,20,25,5,5,5,0,0,0.00599313,0.00525212
instancia-20-25-5.5.5.0.1.col.solved,20,25,5,5,5,0,1,0.00601411,0.00456405
instancia-20-25-5.5.5.0.2.col.solved,20,25,5,5,5,0,2,0.010184,0.00934696
instancia-20-25-5.5.5.0.3.col.solved,20,25,5,5,5,0,3,0.00913811,0.00767899
instancia-20-25-5.5.5.1.0.col.solved,20,25,5,5,5,1,0,0.011682,0.010154
instancia-20-25-5.5.5.2.0.col.solved,20,25,5,5,5,2,0,0.00815201,0.00642204
instancia-20-25-5.5.5.3.0.col.solved,20,25,5,5,5,3,0,0.00561595,0.00419307
instancia-20-25-5.5.5.4.0.col.solved,20,25,5,5,5,4,0,0.0046072,0.00403094
instancia-20-25-8.1.1.-1.0.col.solved,20,25,8,1,1,-1,0,0.0437429,0.043119
instancia-20-25-8.1.1.0.0.col.solved,20,25,8,1,1,0,0,0.0452991,0.0435379
instancia-20-25-8.1.1.0.1.col.solved,20,25,8,1,1,0,1,0.0419888,0.041358
instancia-20-25-8.1.1.0.2.col.solved,20,25,8,1,1,0,2,0.04478,0.043015
instancia-20-25-8.1.1.0.3.col.solved,20,25,8,1,1,0,3,0.0409381,0.0398459
instancia-20-25-8.1.1.1.0.col.solved,20,25,8,1,1,1,0,0.0375471,0.0350502
instancia-20-25-8.1.1.2.0.col.solved,20,25,8,1,1,2,0,0.045321,0.0435719
instancia-20-25-8.1.1.3.0.col.solved,20,25,8,1,1,3,0,0.0389271,0.036634
instancia-20-25-8.1.1.4.0.col.solved,20,25,8,1,1,4,0,0.029233,0.027451
instancia-20-25-8.1.2.-1.0.col.solved,20,25,8,1,2,-1,0,0.0441542,0.0422139
instancia-20-25-8.1.2.0.0.col.solved,20,25,8,1,2,0,0,0.030241,0.029268
instancia-20-25-8.1.2.0.1.col.solved,20,25,8,1,2,0,1,0.028847,0.027072
instancia-20-25-8.1.2.0.2.col.solved,20,25,8,1,2,0,2,0.039237,0.0373468
instancia-20-25-8.1.2.0.3.col.solved,20,25,8,1,2,0,3,0.0319541,0.0302269
instancia-20-25-8.1.2.1.0.col.solved,20,25,8,1,2,1,0,0.0663469,0.0647922
instancia-20-25-8.1.2.2.0.col.solved,20,25,8,1,2,2,0,0.0286589,0.0266771
instancia-20-25-8.1.2.3.0.col.solved,20,25,8,1,2,3,0,0.0261159,0.0254569
instancia-20-25-8.1.2.4.0.col.solved,20,25,8,1,2,4,0,0.018189,0.017535
instancia-20-25-8.1.3.-1.0.col.solved,20,25,8,1,3,-1,0,0.0446272,0.0439169
instancia-20-25-8.1.3.0.0.col.solved,20,25,8,1,3,0,0,0.0400031,0.037822
instancia-20-25-8.1.3.0.1.col.solved,20,25,8,1,3,0,1,0.04053,0.038692
instancia-20-25-8.1.3.0.2.col.solved,20,25,8,1,3,0,2,0.038861,0.0371439
instancia-20-25-8.1.3.0.3.col.solved,20,25,8,1,3,0,3,0.0350928,0.034405
instancia-20-25-8.1.3.1.0.col.solved,20,25,8,1,3,1,0,0.0531769,0.051333
instancia-20-25-8.1.3.2.0.col.solved,20,25,8,1,3,2,0,0.043128,0.0411999
instancia-20-25-8.1.3.3.0.col.solved,20,25,8,1,3,3,0,0.03617,0.0344419
instancia-20-25-8.1.3.4.0.col.solved,20,25,8,1,3,4,0,0.0311618,0.0292749
instancia-20-25-8.1.4.-1.0.col.solved,20,25,8,1,4,-1,0,0.0137661,0.011997
instancia-20-25-8.1.4.0.0.col.solved,20,25,8,1,4,0,0,0.00869608,0.00729299
instancia-20-25-8.1.4.0.1.col.solved,20,25,8,1,4,0,1,0.00854206,0.00776696
instancia-20-25-8.1.4.0.2.col.solved,20,25,8,1,4,0,2,0.00788116,0.00710607
instancia-20-25-8.1.4.0.3.col.solved,20,25,8,1,4,0,3,0.011728,0.00980401
instancia-20-25-8.1.4.1.0.col.solved,20,25,8,1,4,1,0,0.014308,0.0124021
instancia-20-25-8.1.4.2.0.col.solved,20,25,8,1,4,2,0,0.012856,0.0116749
instancia-20-25-8.1.4.3.0.col.solved,20,25,8,1,4,3,0,0.0116959,0.0103662
instancia-20-25-8.1.4.4.0.col.solved,20,25,8,1,4,4,0,0.0150051,0.0132198
instancia-20-25-8.1.5.-1.0.col.solved,20,25,8,1,5,-1,0,0.045995,0.0425308
instancia-20-25-8.1.5.0.0.col.solved,20,25,8,1,5,0,0,0.0616159,0.059787
instancia-20-25-8.1.5.0.1.col.solved,20,25,8,1,5,0,1,0.0574548,0.056704
instancia-20-25-8.1.5.0.2.col.solved,20,25,8,1,5,0,2,0.0578859,0.0556571
instancia-20-25-8.1.5.0.3.col.solved,20,25,8,1,5,0,3,0.0693932,0.0671082
instancia-20-25-8.1.5.1.0.col.solved,20,25,8,1,5,1,0,0.0649209,0.0630651
instancia-20-25-8.1.5.2.0.col.solved,20,25,8,1,5,2,0,0.059087,0.056416
instancia-20-25-8.1.5.3.0.col.solved,20,25,8,1,5,3,0,0.046701,0.044591
instancia-20-25-8.1.5.4.0.col.solved,20,25,8,1,5,4,0,0.0288849,0.0281749
instancia-20-25-8.2.1.-1.0.col.solved,20,25,8,2,1,-1,0,0.067373,0.063962
instancia-20-25-8.2.1.0.0.col.solved,20,25,8,2,1,0,0,0.077744,0.07372
instancia-20-25-8.2.1.0.1.col.solved,20,25,8,2,1,0,1,0.0818889,0.078563
instancia-20-25-8.2.1.0.2.col.solved,20,25,8,2,1,0,2,0.0764701,0.0741348
instancia-20-25-8.2.1.0.3.col.solved,20,25,8,2,1,0,3,0.0791371,0.076417
instancia-20-25-8.2.1.1.0.col.solved,20,25,8,2,1,1,0,0.084965,0.082742
instancia-20-25-8.2.1.2.0.col.solved,20,25,8,2,1,2,0,0.0818701,0.0776021
instancia-20-25-8.2.1.3.0.col.solved,20,25,8,2,1,3,0,0.105225,0.102312
instancia-20-25-8.2.1.4.0.col.solved,20,25,8,2,1,4,0,0.044611,0.042089
instancia-20-25-8.2.2.-1.0.col.solved,20,25,8,2,2,-1,0,0.0824311,0.0791762
instancia-20-25-8.2.2.0.0.col.solved,20,25,8,2,2,0,0,0.123407,0.119649
instancia-20-25-8.2.2.0.1.col.solved,20,25,8,2,2,0,1,0.123688,0.119421
instancia-20-25-8.2.2.0.2.col.solved,20,25,8,2,2,0,2,0.130797,0.127219
instancia-20-25-8.2.2.0.3.col.solved,20,25,8,2,2,0,3,0.129255,0.124737
instancia-20-25-8.2.2.1.0.col.solved,20,25,8,2,2,1,0,0.0926211,0.0918279
instancia-20-25-8.2.2.2.0.col.solved,20,25,8,2,2,2,0,0.123399,0.120368
instancia-20-25-8.2.2.3.0.col.solved,20,25,8,2,2,3,0,0.085597,0.0826938
instancia-20-25-8.2.2.4.0.col.solved,20,25,8,2,2,4,0,0.0541351,0.0515821
instancia-20-25-8.2.3.-1.0.col.solved,20,25,8,2,3,-1,0,0.0883889,0.0843761
instancia-20-25-8.2.3.0.0.col.solved,20,25,8,2,3,0,0,0.119253,0.115402
instancia-20-25-8.2.3.0.1.col.solved,20,25,8,2,3,0,1,0.123714,0.120723
instancia-20-25-8.2.3.0.2.col.solved,20,25,8,2,3,0,2,0.118953,0.115676
instancia-20-25-8.2.3.0.3.col.solved,20,25,8,2,3,0,3,0.120939,0.117291
instancia-20-25-8.2.3.1.0.col.solved,20,25,8,2,3,1,0,0.071475,0.069664
instancia-20-25-8.2.3.2.0.col.solved,20,25,8,2,3,2,0,0.113959,0.110463
instancia-20-25-8.2.3.3.0.col.solved,20,25,8,2,3,3,0,0.0863018,0.0823529
instancia-20-25-8.2.3.4.0.col.solved,20,25,8,2,3,4,0,0.0498781,0.046941
instancia-20-25-8.2.4.-1.0.col.solved,20,25,8,2,4,-1,0,0.0571349,0.053962
instancia-20-25-8.2.4.0.0.col.solved,20,25,8,2,4,0,0,0.0699091,0.0680761
instancia-20-25-8.2.4.0.1.col.solved,20,25,8,2,4,0,1,0.0801008,0.0771992
instancia-20-25-8.2.4.0.2.col.solved,20,25,8,2,4,0,2,0.08198,0.0781932
instancia-20-25-8.2.4.0.3.col.solved,20,25,8,2,4,0,3,0.0826471,0.0789571
instancia-20-25-8.2.4.1.0.col.solved,20,25,8,2,4,1,0,0.0733149,0.0711069
instancia-20-25-8.2.4.2.0.col.solved,20,25,8,2,4,2,0,0.0739129,0.0688851
instancia-20-25-8.2.4.3.0.col.solved,20,25,8,2,4,3,0,0.085758,0.08218
instancia-20-25-8.2.4.4.0.col.solved,20,25,8,2,4,4,0,0.0447199,0.041616
instancia-20-25-8.2.5.-1.0.col.solved,20,25,8,2,5,-1,0,0.0428171,0.0410569
instancia-20-25-8.2.5.0.0.col.solved,20,25,8,2,5,0,0,0.0549672,0.0527399
instancia-20-25-8.2.5.0.1.col.solved,20,25,8,2,5,0,1,0.0419321,0.04108
instancia-20-25-8.2.5.0.2.col.solved,20,25,8,2,5,0,2,0.0473359,0.04528
instancia-20-25-8.2.5.0.3.col.solved,20,25,8,2,5,0,3,0.0410109,0.040309
instancia-20-25-8.2.5.1.0.col.solved,20,25,8,2,5,1,0,0.0305879,0.029814
instancia-20-25-8.2.5.2.0.col.solved,20,25,8,2,5,2,0,0.041667,0.0407901
instancia-20-25-8.2.5.3.0.col.solved,20,25,8,2,5,3,0,0.028698,0.0278749
instancia-20-25-8.2.5.4.0.col.solved,20,25,8,2,5,4,0,0.0232279,0.0223799
instancia-20-25-8.3.1.-1.0.col.solved,20,25,8,3,1,-1,0,0.0213809,0.0195351
instancia-20-25-8.3.1.0.0.col.solved,20,25,8,3,1,0,0,0.0215638,0.0207548
instancia-20-25-8.3.1.0.1.col.solved,20,25,8,3,1,0,1,0.0212431,0.020473
instancia-20-25-8.3.1.0.2.col.solved,20,25,8,3,1,0,2,0.0212929,0.0205619
instancia-20-25-8.3.1.0.3.col.solved,20,25,8,3,1,0,3,0.0312941,0.0304232
instancia-20-25-8.3.1.1.0.col.solved,20,25,8,3,1,1,0,0.028055,0.0271549
instancia-20-25-8.3.1.2.0.col.solved,20,25,8,3,1,2,0,0.02106,0.0202889
instancia-20-25-8.3.1.3.0.col.solved,20,25,8,3,1,3,0,0.0232229,0.0220511
instancia-20-25-8.3.1.4.0.col.solved,20,25,8,3,1,4,0,0.0231221,0.0219588
instancia-20-25-8.3.2.-1.0.col.solved,20,25,8,3,2,-1,0,0.0389462,0.036983
instancia-20-25-8.3.2.0.0.col.solved,20,25,8,3,2,0,0,0.0715899,0.069602
instancia-20-25-8.3.2.0.1.col.solved,20,25,8,3,2,0,1,0.0624459,0.0602391
instancia-20-25-8.3.2.0.2.col.solved,20,25,8,3,2,0,2,0.0734839,0.0699801
instancia-20-25-8.3.2.0.3.col.solved,20,25,8,3,2,0,3,0.0678141,0.065515
instancia-20-25-8.3.2.1.0.col.solved,20,25,8,3,2,1,0,0.0409889,0.039139
instancia-20-25-8.3.2.2.0.col.solved,20,25,8,3,2,2,0,0.0604091,0.0596399
instancia-20-25-8.3.2.3.0.col.solved,20,25,8,3,2,3,0,0.088866,0.0854731
instancia-20-25-8.3.2.4.0.col.solved,20,25,8,3,2,4,0,0.042613,0.039989
instancia-20-25-8.3.3.-1.0.col.solved,20,25,8,3,3,-1,0,0.0248001,0.0238168
instancia-20-25-8.3.3.0.0.col.solved,20,25,8,3,3,0,0,0.0393491,0.038677
instancia-20-25-8.3.3.0.1.col.solved,20,25,8,3,3,0,1,0.0438321,0.0418191
instancia-20-25-8.3.3.0.2.col.solved,20,25,8,3,3,0,2,0.0396199,0.0380921
instancia-20-25-8.3.3.0.3.col.solved,20,25,8,3,3,0,3,0.0442171,0.0421679
instancia-20-25-8.3.3.1.0.col.solved,20,25,8,3,3,1,0,0.023056,0.0222671
instancia-20-25-8.3.3.2.0.col.solved,20,25,8,3,3,2,0,0.039295,0.038481
instancia-20-25-8.3.3.3.0.col.solved,20,25,8,3,3,3,0,0.031914,0.031122
instancia-20-25-8.3.3.4.0.col.solved,20,25,8,3,3,4,0,0.0235131,0.0223129
instancia-20-25-8.3.4.-1.0.col.solved,20,25,8,3,4,-1,0,0.0493979,0.0464921
instancia-20-25-8.3.4.0.0.col.solved,20,25,8,3,4,0,0,0.083812,0.0830309
instancia-20-25-8.3.4.0.1.col.solved,20,25,8,3,4,0,1,0.0849261,0.0826201
instancia-20-25-8.3.4.0.2.col.solved,20,25,8,3,4,0,2,0.100404,0.0968139
